V,IGLJ1,IGLJ2,IGLJ3,IGLJ4,IGLJ5,IGLJ6,IGLJ7
IGLV1-36,,-0.467016432,,,,,
IGLV1-40,0.265265334,0.631406217,0.9975471,,,,
IGLV1-44,-0.467016432,2.462110632,0.9975471,,,,
IGLV1-47,,-0.100875549,-0.467016432,,,,
IGLV1-50,,-0.833157315,,,,,
IGLV1-51,-0.833157315,-0.833157315,,,,,
IGLV2-08,,-0.833157315,,,,,
IGLV2-11,-0.833157315,-0.467016432,-0.833157315,,,,
IGLV2-14,0.265265334,1.729828866,0.265265334,,,,
IGLV2-18,,,-0.833157315,,,,
IGLV2-23,-0.833157315,0.9975471,0.265265334,,,,
IGLV3-01,-0.467016432,0.631406217,0.265265334,,,,
IGLV3-10,-0.833157315,-0.833157315,0.631406217,,,,
IGLV3-19,,0.631406217,0.265265334,,,,
IGLV3-21,-0.467016432,1.363687983,-0.100875549,,,,
IGLV3-25,-0.467016432,1.729828866,2.462110632,,,,
IGLV3-27,,-0.833157315,,,,,
IGLV4-60,,,-0.833157315,,,,
IGLV4-69,,-0.833157315,-0.833157315,,,,
IGLV6-57,,1.729828866,-0.100875549,,,,
IGLV7-43,,,-0.100875549,,,,
IGLV9-49,,-0.100875549,,,,,
