clonotype_id,Chain,heavy_percent_id
COV2-2564,Light,98.6
COV2-2776,Light,97.2
COV2-2587,Light,98.2
COV2-2551,Light,97.6
COV2-2481,Light,99.3
COV2-2029,Light,95.9
COV2-2590,Light,97.2
COV2-2408,Light,98.6
COV2-2565,Light,99
COV2-2641,Light,98.9
COV2-2449,Light,99
COV2-2619,Light,97.3
COV2-2367,Light,99
COV2-2343,Light,96.6
COV2-2270,Light,99.7
COV2-2187,Light,98.6
COV2-2478,Light,97.9
COV2-2820,Light,98.7
COV2-2620,Light,98.6
COV2-2171,Light,98.2
COV2-2583,Light,99.7
COV2-2227,Light,98.3
COV2-2160,Light,98.6
COV2-2178,Light,99.3
COV2-2166,Light,98.3
COV2-2224,Light,97.7
COV2-2218,Light,98.7
COV2-2175,Light,97.9
COV2-2021,Light,99.3
COV2-2026,Light,98.2
COV2-2146,Light,99.6
COV2-2150,Light,97.2
COV2-2190,Light,98.3
COV2-2199,Light,97.9
COV2-2210,Light,99.7
COV2-2212,Light,96.8
COV2-2215,Light,97.9
COV2-2222,Light,98.3
COV2-2228,Light,99.7
COV2-2251,Light,98.3
COV2-2257,Light,95.3
COV2-2260,Light,98.6
COV2-2293,Light,99
COV2-2305,Light,98.6
COV2-2307,Light,98.9
COV2-2335,Light,98.6
COV2-2384,Light,98.6
COV2-2405,Light,97.9
COV2-2438,Light,99.3
COV2-2444,Light,98.3
COV2-2489,Light,99.7
COV2-2490,Light,98.9
COV2-2495,Light,98.9
COV2-2525,Light,97.6
COV2-2533,Light,100
COV2-2563,Light,100
COV2-2571,Light,100
COV2-2622,Light,99.3
COV2-2673,Light,98.6
COV2-2459,Light,99
COV2-2830,Light,96.9
COV2-2582,Light,99.7
COV2-2248,Light,98.6
COV2-2513,Light,98.6
COV2-2034,Light,99.7
COV2-2322,Light,100
COV2-2388,Light,99.7
COV2-2151,Light,98.6
COV2-2403,Light,99
COV2-2013,Light,95.1
COV2-2617,Light,99.3
COV2-2273,Light,98.6
COV2-2337,Light,98.2
COV2-2515,Light,98.9
COV2-2610,Light,99.3
COV2-2422,Light,100
COV2-2250,Light,97.2
COV2-2844,Light,97.6
COV2-2520,Light,97.9
COV2-2960,Light,96.6
COV2-2006,Light,100
COV2-2333,Light,97.5
COV2-2458,Light,97.9
COV2-2009,Light,97.6
COV2-2616,Light,99
COV2-2325,Light,97.9
COV2-2033,Light,97
COV2-2310,Light,98.9
COV2-2669,Light,95.4
COV2-2774,Light,98.9
COV2-2340,Light,99.7
COV2-2811,Light,98.3
COV2-2239,Light,99
COV2-2429,Light,99.3
COV2-2536,Light,100
COV2-2028,Light,95.1
COV2-2017,Light,98.7
COV2-2011,Light,89.7
COV2-2509,Light,100
COV2-2406,Light,97.5
COV2-2726,Light,99
COV2-2718,Light,100
COV2-2474,Light,99.3
COV2-2947,Light,98
COV2-2420,Light,94.1
COV2-2818,Light,99
COV2-2027,Light,99.3
COV2-2451,Light,97.5
COV2-2546,Light,96.8
COV2-2643,Light,99.6
COV2-2022,Light,99
COV2-2656,Light,98.9
COV2-2529,Light,98.2
COV2-2553,Light,99.6
COV2-2611,Light,99.3
COV2-2238,Light,91.9
COV2-2207,Light,97.6
COV2-2143,Light,98
COV2-2296,Light,98.9
COV2-2446,Light,100
COV2-2197,Light,98.6
COV2-2142,Light,98.7
COV2-2677,Light,100
COV2-2274,Light,93.1
COV2-2614,Light,98.2
COV2-2904,Light,94.3
COV2-2681,Light,99
COV2-2371,Light,100
COV2-2639,Light,98
COV2-2430,Light,100
COV2-2685,Light,99.3
COV2-2041,Light,98.9
COV2-2814,Light,99.3
COV2-2266,Light,97.6
COV2-2387,Light,99
COV2-2281,Light,97.6
COV2-2235,Light,99.3
COV2-2453,Light,97.6
COV2-2997,Light,98.6
COV2-3012,Light,97.9
COV2-2961,Light,99.3
COV2-3025,Light,99
COV2-2046,Light,97.9
COV2-2196,Light,99.3
COV2-2901,Light,94.6
COV2-2070,Light,97.9
COV2-2132,Light,99.3
COV2-2911,Light,99.3
COV2-2098,Light,96.9
COV2-2108,Light,96.3
COV2-2114,Light,99.3
COV2-2304,Light,99
COV2-2078,Light,98.3
COV2-2299,Light,98.9
COV2-2351,Light,93.1
COV2-2318,Light,96.5
COV2-2703,Light,99.3
COV2-2277,Light,98.9
COV2-2068,Light,98.3
COV2-2504,Light,97.9
COV2-2510,Light,98.6
COV2-2308,Light,96.9
COV2-2391,Light,94.5
COV2-2113,Light,99
COV2-2290,Light,96.2
COV2-2130,Light,98.7
